service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
1-124,1,1,1,1,1,0,0,20190106,20190615,Weekday
4-124,0,0,0,0,0,1,0,20190106,20190615,Saturday
5-124,0,0,0,0,0,0,1,20190106,20190615,Sunday
2901-124,0,0,0,0,0,0,0,20190106,20190615,E-Bus Thursday/Friday
4701-124,0,0,0,0,0,0,0,20190106,20190615,UT Regular Weekday
4705-124,0,0,0,0,0,0,0,20190106,20190615,UT Regular Weekday
4801-124,0,0,0,0,0,0,0,20190106,20190615,UT Registration
4901-124,0,0,0,0,0,0,0,20190106,20190615,UT Finals
4904-124,0,0,0,0,0,0,0,20190106,20190615,UT Finals
5101-124,0,0,0,0,0,0,0,20190106,20190615,Weekday Special Event
13401-124,0,0,0,0,0,0,0,20190106,20190615,Rail Friday Night
14001-124,0,0,0,0,0,0,0,20190106,20190615,Thursday Only
14101-124,0,0,0,0,0,0,0,20190106,20190615,Wednesday Only
14304-124,0,0,0,0,0,0,0,20190106,20190615,Saturday SE 10 TO 2:30am 
15504-124,0,0,0,0,0,0,0,20190106,20190615,Saturday Rail
16001-124,0,0,0,0,0,0,0,20190106,20190615,Special Event Extra Service
16004-124,0,0,0,0,0,0,0,20190106,20190615,Special Event Extra Service
16301-124,0,0,0,0,0,0,0,20190106,20190615,Weekday Special Event - 2:30am
20704-124,0,0,0,0,0,0,0,20190106,20190615,E-Bus Saturday
20804-124,0,0,0,0,0,0,0,20190106,20190615,Saturday Rail 10:00am to Midnight
20805-124,0,0,0,0,0,0,0,20190106,20190615,Saturday Rail 10:00am to Midnight
21005-124,0,0,0,0,0,0,0,20190106,20190615,UT Sunday Service
26104-124,0,0,0,0,0,0,0,20190106,20190615,491 WORK
26201-124,0,0,0,0,0,0,0,20190106,20190615,492 WORK
32401-124,0,0,0,0,0,0,0,20190106,20190615,RAPID THURSDAY
32501-124,0,0,0,0,0,0,0,20190106,20190615,RAPID MONDAY TO WEDNESDAY
34101-124,0,0,0,0,0,0,0,20190106,20190615,RED LINE 7 TRAIN FRI SPECIAL
34604-124,0,0,0,0,0,0,0,20190106,20190615,EEYORES BDAY
39101-124,0,0,0,0,0,0,0,20190106,20190615,6TRAINMON to THURS
39105-124,0,0,0,0,0,0,0,20190106,20190615,6TRAINMON to THURS
39201-124,0,0,0,0,0,0,0,20190106,20190615,6TRAIN FRIDAY
40801-124,0,0,0,0,0,0,0,20190106,20190615,493 WORK
40804-124,0,0,0,0,0,0,0,20190106,20190615,493 WORK
47101-124,0,0,0,0,0,0,0,20190106,20190615,SXSW FRI
47104-124,0,0,0,0,0,0,0,20190106,20190615,SXSW FRI
47201-124,0,0,0,0,0,0,0,20190106,20190615,WED-THURS
47204-124,0,0,0,0,0,0,0,20190106,20190615,WED-THURS
47301-124,0,0,0,0,0,0,0,20190106,20190615,SXSW MON-TUE
