service_id,date,exception_type
5101-124,20190107,1
32501-124,20190107,1
39101-124,20190107,1
40801-124,20190107,1
5101-124,20190108,1
32501-124,20190108,1
39101-124,20190108,1
5101-124,20190109,1
14101-124,20190109,1
32501-124,20190109,1
39101-124,20190109,1
5101-124,20190110,1
14001-124,20190110,1
32401-124,20190110,1
39101-124,20190110,1
5101-124,20190111,1
13401-124,20190111,1
26201-124,20190111,1
32401-124,20190111,1
15504-124,20190112,1
26104-124,20190112,1
5101-124,20190114,1
32501-124,20190114,1
39101-124,20190114,1
40801-124,20190114,1
4801-124,20190115,1
5101-124,20190115,1
32501-124,20190115,1
39101-124,20190115,1
4801-124,20190116,1
5101-124,20190116,1
14101-124,20190116,1
32501-124,20190116,1
39101-124,20190116,1
4801-124,20190117,1
5101-124,20190117,1
14001-124,20190117,1
32401-124,20190117,1
39101-124,20190117,1
4801-124,20190118,1
5101-124,20190118,1
13401-124,20190118,1
26201-124,20190118,1
32401-124,20190118,1
15504-124,20190119,1
26104-124,20190119,1
1-124,20190121,2
4-124,20190121,1
40801-124,20190121,1
40804-124,20190121,1
4701-124,20190122,1
32501-124,20190122,1
39101-124,20190122,1
4701-124,20190123,1
14101-124,20190123,1
32501-124,20190123,1
39101-124,20190123,1
2901-124,20190124,1
4701-124,20190124,1
14001-124,20190124,1
32401-124,20190124,1
39101-124,20190124,1
2901-124,20190125,1
4701-124,20190125,1
13401-124,20190125,1
26201-124,20190125,1
32401-124,20190125,1
15504-124,20190126,1
20704-124,20190126,1
26104-124,20190126,1
21005-124,20190127,1
4701-124,20190128,1
32501-124,20190128,1
39101-124,20190128,1
40801-124,20190128,1
4701-124,20190129,1
32501-124,20190129,1
39101-124,20190129,1
4701-124,20190130,1
14101-124,20190130,1
32501-124,20190130,1
39101-124,20190130,1
2901-124,20190131,1
4701-124,20190131,1
14001-124,20190131,1
32401-124,20190131,1
39101-124,20190131,1
2901-124,20190201,1
4701-124,20190201,1
13401-124,20190201,1
26201-124,20190201,1
32401-124,20190201,1
15504-124,20190202,1
20704-124,20190202,1
26104-124,20190202,1
21005-124,20190203,1
4701-124,20190204,1
32501-124,20190204,1
39101-124,20190204,1
40801-124,20190204,1
4701-124,20190205,1
32501-124,20190205,1
39101-124,20190205,1
4701-124,20190206,1
14101-124,20190206,1
32501-124,20190206,1
39101-124,20190206,1
2901-124,20190207,1
4701-124,20190207,1
14001-124,20190207,1
32401-124,20190207,1
39101-124,20190207,1
