route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,dir_abbr
1,1-124,2104626,1-Lamar/South Congress SB,,0,1004-1-124,40592,1,1,S
1,1-124,2104625,1-Lamar/South Congress SB,,0,1008-1-124,40592,1,1,S
1,1-124,2104624,1-Lamar/South Congress SB,,0,1006-1-124,40592,1,1,S
1,1-124,2104623,1-Lamar/South Congress SB,,0,1001-1-124,40592,1,1,S
1,1-124,2104622,1-Lamar/South Congress SB,,0,1003-1-124,40592,1,1,S
1,1-124,2104621,1-Lamar/South Congress SB,,0,1005-1-124,40592,1,1,S
1,1-124,2104620,1-Lamar/South Congress SB,,0,1007-1-124,40592,1,1,S
1,1-124,2104657,1-Lamar/South Congress SB,,0,1002-1-124,40592,1,1,S
1,1-124,2104656,1-Lamar/South Congress SB,,0,1004-1-124,40592,1,1,S
1,1-124,2104655,1-Lamar/South Congress SB,,0,1008-1-124,40592,1,1,S
1,1-124,2104654,1-Lamar/South Congress SB,,0,1006-1-124,40592,1,1,S
1,1-124,2104653,1-Lamar/South Congress SB,,0,1001-1-124,40592,1,1,S
1,1-124,2104652,1-Lamar/South Congress SB,,0,1003-1-124,40592,1,1,S
1,1-124,2104651,1-Lamar/South Congress SB,,0,1005-1-124,40592,1,1,S
1,1-124,2104650,1-Lamar/South Congress SB,,0,1007-1-124,40592,1,1,S
1,1-124,2104649,1-Lamar/South Congress SB,,0,1002-1-124,40592,1,1,S
1,1-124,2104648,1-Lamar/South Congress SB,,0,1004-1-124,40592,1,1,S
1,1-124,2104647,1-Lamar/South Congress SB,,0,1008-1-124,40592,1,1,S
1,1-124,2104646,1-Lamar/South Congress SB,,0,1006-1-124,40592,1,1,S
1,1-124,2104645,1-Lamar/South Congress SB,,0,1001-1-124,40592,1,1,S
1,1-124,2104644,1-Lamar/South Congress SB,,0,1003-1-124,40592,1,1,S
1,1-124,2104643,1-Lamar/South Congress SB,,0,1005-1-124,40592,1,1,S
1,1-124,2104642,1-Lamar/South Congress SB,,0,1007-1-124,40592,1,1,S
1,1-124,2104641,1-Lamar/South Congress SB,,0,1002-1-124,40592,1,1,S
1,1-124,2104640,1-Lamar/South Congress SB,,0,1004-1-124,40592,1,1,S
1,1-124,2104639,1-Lamar/South Congress SB,,0,1008-1-124,40592,1,1,S
1,1-124,2104638,1-Lamar/South Congress SB,,0,1006-1-124,40592,1,1,S
1,1-124,2104637,1-Lamar/South Congress SB,,0,1001-1-124,40592,1,1,S
1,1-124,2104636,1-Lamar/South Congress SB,,0,1003-1-124,40592,1,1,S
1,1-124,2104635,1-Lamar/South Congress SB,,0,1005-1-124,40592,1,1,S
1,1-124,2104634,1-Lamar/South Congress SB,,0,1007-1-124,40592,1,1,S
1,1-124,2104633,1-Lamar/South Congress SB,,0,1002-1-124,40592,1,1,S
1,1-124,2104632,1-Lamar/South Congress SB,,0,1004-1-124,40592,1,1,S
1,1-124,2104631,1-Lamar/South Congress SB,,0,1008-1-124,40592,1,1,S
1,1-124,2104630,1-Lamar/South Congress SB,,0,7012-1-124,40592,1,1,S
1,1-124,2104629,1-Lamar/South Congress SB,,0,1001-1-124,40592,1,1,S
1,1-124,2104628,1-Lamar/South Congress SB,,0,1003-1-124,40592,1,1,S
1,1-124,2104627,1-Lamar/South Congress SB,,0,1005-1-124,40592,1,1,S
1,1-124,2104673,1-Lamar/South Congress NB,,1,1001-1-124,40593,1,1,N
1,1-124,2104667,1-Lamar/South Congress NB,,1,1003-1-124,40593,1,1,N
1,1-124,2104668,1-Lamar/South Congress NB,,1,1005-1-124,40593,1,1,N
1,1-124,2104666,1-Lamar/South Congress NB,,1,1007-1-124,40593,1,1,N
1,1-124,2104665,1-Lamar/South Congress NB,,1,1002-1-124,40593,1,1,N
1,1-124,2104672,1-Lamar/South Congress NB,,1,1004-1-124,40593,1,1,N
1,1-124,2104664,1-Lamar/South Congress NB,,1,1008-1-124,40593,1,1,N
1,1-124,2104663,1-Lamar/South Congress NB,,1,1006-1-124,40593,1,1,N
1,1-124,2104662,1-Lamar/South Congress NB,,1,1001-1-124,40593,1,1,N
1,1-124,2104661,1-Lamar/South Congress NB,,1,1003-1-124,40593,1,1,N
1,1-124,2104660,1-Lamar/South Congress NB,,1,1005-1-124,40593,1,1,N
1,1-124,2104659,1-Lamar/South Congress NB,,1,1007-1-124,40593,1,1,N
1,1-124,2104658,1-Lamar/South Congress NB,,1,1002-1-124,40593,1,1,N
